Lookup (for Uploader),Trade,Precon System,Operations System,Title,Drawing Abbreviation,Precon Tag,System Type ID,Asset Category,Equip Name ID,Sub System Type,Sub System ID,Sub System Class,Class ID,Equipment Size,Unit,Asset ID,Notes,Service ID,Service Life
Heat ExchangerHydronicShell and Tube50,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Heat Exchanger,CWHX,CWHX,H,Heat Exchanger,HX,Hydronic,HYD,Shell and Tube,ST,50.0,GPM,H-HX-HYD-ST-50,,HHXHYDST,24
Heat ExchangerHydronicShell and Tube5000,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Heat Exchanger,CWHX,CWHX,H,Heat Exchanger,HX,Hydronic,HYD,Shell and Tube,ST,5000.0,GPM,H-HX-HYD-ST-5000,,HHXHYDST,24
Heat ExchangerHydronicShell and Tube8000,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Heat Exchanger,CWHX,CWHX,H,Heat Exchanger,HX,Hydronic,HYD,Shell and Tube,ST,8000.0,GPM,H-HX-HYD-ST-8000,,HHXHYDST,24
Heat ExchangerSteamShell and Tube1000,PF,Steam Boiler Plant,Steam,Heat Exchanger,STHX,STHX,H,Heat Exchanger,HX,Steam,STM,Shell and Tube,ST,1000.0,GPM,H-HX-STM-ST-1000,,HHXSTMST,24
Heat ExchangerSteamShell and Tube2500,PF,Steam Boiler Plant,Steam,Heat Exchanger,STHX,STHX,H,Heat Exchanger,HX,Steam,STM,Shell and Tube,ST,2500.0,GPM,H-HX-STM-ST-2500,,HHXSTMST,24
Heat ExchangerSteamShell and Tube300,PF,Steam Boiler Plant,Steam,Heat Exchanger,STHX,STHX,H,Heat Exchanger,HX,Steam,STM,Shell and Tube,ST,300.0,GPM,H-HX-STM-ST-300,,HHXSTMST,24
Heat ExchangerSteamShell and Tube50,PF,Steam Boiler Plant,Steam,Heat Exchanger,STHX,STHX,H,Heat Exchanger,HX,Steam,STM,Shell and Tube,ST,50.0,GPM,H-HX-STM-ST-50,,HHXSTMST,24
Heat ExchangerSteamShell and Tube5000,PF,Steam Boiler Plant,Steam,Heat Exchanger,STHX,STHX,H,Heat Exchanger,HX,Steam,STM,Shell and Tube,ST,5000.0,GPM,H-HX-STM-ST-5000,,HHXSTMST,24
Heat PumpAir CooledHorizontal10,SM,Air Handling System Terminal Equipment,Terminal Equipment,Heat Pump,HP,HP,H,Heat Pump,HP,Air Cooled,AIR,Horizontal,HOR,10.0,TONS,H-HP-AIR-HOR-10,,HHPAIRHOR,15
Heat PumpAir CooledHorizontal20,SM,Air Handling System Terminal Equipment,Terminal Equipment,Heat Pump,HP,HP,H,Heat Pump,HP,Air Cooled,AIR,Horizontal,HOR,20.0,TONS,H-HP-AIR-HOR-20,,HHPAIRHOR,15
Heat PumpAir CooledHorizontal40,SM,Air Handling System Terminal Equipment,Terminal Equipment,Heat Pump,HP,HP,H,Heat Pump,HP,Air Cooled,AIR,Horizontal,HOR,40.0,TONS,H-HP-AIR-HOR-40,,HHPAIRHOR,15
Heat PumpAir CooledHorizontal5,SM,Air Handling System Terminal Equipment,Terminal Equipment,Heat Pump,HP,HP,H,Heat Pump,HP,Air Cooled,AIR,Horizontal,HOR,5.0,TONS,H-HP-AIR-HOR-5,,HHPAIRHOR,15
Heat PumpAir CooledVertical10,SM,Air Handling System Terminal Equipment,Terminal Equipment,Heat Pump,HP,HP,H,Heat Pump,HP,Air Cooled,AIR,Vertical,VER,10.0,TONS,H-HP-AIR-VER-10,,HHPAIRVER,15
Heat PumpAir CooledVertical20,SM,Air Handling System Terminal Equipment,Terminal Equipment,Heat Pump,HP,HP,H,Heat Pump,HP,Air Cooled,AIR,Vertical,VER,20.0,TONS,H-HP-AIR-VER-20,,HHPAIRVER,15
Heat PumpAir CooledVertical40,SM,Air Handling System Terminal Equipment,Terminal Equipment,Heat Pump,HP,HP,H,Heat Pump,HP,Air Cooled,AIR,Vertical,VER,40.0,TONS,H-HP-AIR-VER-40,,HHPAIRVER,15
Heat PumpAir CooledVertical5,SM,Air Handling System Terminal Equipment,Terminal Equipment,Heat Pump,HP,HP,H,Heat Pump,HP,Air Cooled,AIR,Vertical,VER,5.0,TONS,H-HP-AIR-VER-5,,HHPAIRVER,15
Heat PumpWater CooledHorizontal10,SM,Air Handling System Terminal Equipment,Terminal Equipment,Water Source Heat Pump,WSHP,WSHP,H,Heat Pump,HP,Water Cooled,WTR,Horizontal,HOR,10.0,TONS,H-HP-WTR-HOR-10,,HHPWTRHOR,19
Heat PumpWater CooledHorizontal20,SM,Air Handling System Terminal Equipment,Terminal Equipment,Water Source Heat Pump,WSHP,WSHP,H,Heat Pump,HP,Water Cooled,WTR,Horizontal,HOR,20.0,TONS,H-HP-WTR-HOR-20,,HHPWTRHOR,19
Heat PumpWater CooledHorizontal40,SM,Air Handling System Terminal Equipment,Terminal Equipment,Water Source Heat Pump,WSHP,WSHP,H,Heat Pump,HP,Water Cooled,WTR,Horizontal,HOR,40.0,TONS,H-HP-WTR-HOR-40,,HHPWTRHOR,19
Heat PumpWater CooledHorizontal5,SM,Air Handling System Terminal Equipment,Terminal Equipment,Water Source Heat Pump,WSHP,WSHP,H,Heat Pump,HP,Water Cooled,WTR,Horizontal,HOR,5.0,TONS,H-HP-WTR-HOR-5,,HHPWTRHOR,19
Heat PumpWater CooledVertical10,SM,Air Handling System Terminal Equipment,Terminal Equipment,Water Source Heat Pump,WSHP,WSHP,H,Heat Pump,HP,Water Cooled,WTR,Vertical,VER,10.0,TONS,H-HP-WTR-VER-10,,HHPWTRVER,19
Heat PumpWater CooledVertical20,SM,Air Handling System Terminal Equipment,Terminal Equipment,Water Source Heat Pump,WSHP,WSHP,H,Heat Pump,HP,Water Cooled,WTR,Vertical,VER,20.0,TONS,H-HP-WTR-VER-20,,HHPWTRVER,19
Heat PumpWater CooledVertical40,SM,Air Handling System Terminal Equipment,Terminal Equipment,Water Source Heat Pump,WSHP,WSHP,H,Heat Pump,HP,Water Cooled,WTR,Vertical,VER,40.0,TONS,H-HP-WTR-VER-40,,HHPWTRVER,19
Heat PumpWater CooledVertical5,SM,Air Handling System Terminal Equipment,Terminal Equipment,Water Source Heat Pump,WSHP,WSHP,H,Heat Pump,HP,Water Cooled,WTR,Vertical,VER,5.0,TONS,H-HP-WTR-VER-5,,HHPWTRVER,19
Heat PumpWater-to-WaterAll10,PF,Cooling Tower Plant,Domestic Water,Water-to-Water Heat Pump,HP,HP,H,Heat Pump,HP,Water-to-Water,WTW,All,nan,10.0,TONS,H-HP-WTW--10,,HHPWTW,19
Heat PumpWater-to-WaterAll25,PF,Cooling Tower Plant,Domestic Water,Water-to-Water Heat Pump,HP,HP,H,Heat Pump,HP,Water-to-Water,WTW,All,nan,25.0,TONS,H-HP-WTW--25,,HHPWTW,19
Heat PumpWater-to-WaterAll5,PF,Cooling Tower Plant,Domestic Water,Water-to-Water Heat Pump,HP,HP,H,Heat Pump,HP,Water-to-Water,WTW,All,nan,5.0,TONS,H-HP-WTW--5,,HHPWTW,19
Heat PumpWater-to-WaterAll50,PF,Cooling Tower Plant,Domestic Water,Water-to-Water Heat Pump,HP,HP,H,Heat Pump,HP,Water-to-Water,WTW,All,nan,50.0,TONS,H-HP-WTW--50,,HHPWTW,19
Heat TraceElectricAll10,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Heat Trace,HT,HT,H,Heat Trace,HT,Electric,ELE,All,nan,10.0,kW,H-HT-ELE--10,,nan,20
Heat TraceElectricAll2,PL,"Sanitary Equipment, Storm Piping","Sanitary Waste, Storm",Heat Trace,HT,HT,P,Heat Trace,HT,Electric,ELE,All,nan,2.0,kW,P-HT-ELE--2,,nan,20
Heat TraceElectricAll5,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Heat Trace,HT,HT,H,Heat Trace,HT,Electric,ELE,All,nan,5.0,kW,H-HT-ELE--5,,nan,20
Heat TraceElectricAll5,PL,"Sanitary Equipment, Storm Piping","Sanitary Waste, Storm",Heat Trace,HT,HT,P,Heat Trace,HT,Electric,ELE,All,nan,5.0,kW,P-HT-ELE--5,,nan,20
HumidifierElectricAll10,PF,Air Handling System Terminal Equipment,Terminal Equipment,Humidifier,DH,HUM,H,Humidifier,HUM,Electric,ELE,All,nan,10.0,LBS/HR,H-HUM-ELE--10,,HHUMELE,15
HumidifierElectricAll100,PF,Air Handling System Terminal Equipment,Terminal Equipment,Humidifier,DH,HUM,H,Humidifier,HUM,Electric,ELE,All,nan,100.0,LBS/HR,H-HUM-ELE--100,,HHUMELE,15
HumidifierElectricAll500,PF,Air Handling System Terminal Equipment,Terminal Equipment,Humidifier,DH,HUM,H,Humidifier,HUM,Electric,ELE,All,nan,500.0,LBS/HR,H-HUM-ELE--500,,HHUMELE,15
HumidifierSteamAll100,PF,Air Handling System Terminal Equipment,Terminal Equipment,Humidifier,SH,HUM,H,Humidifier,HUM,Steam,STM,All,nan,100.0,LBS/HR,H-HUM-STM--100,,HHUMSTM,15
HumidifierSteamAll1000,PF,Air Handling System Terminal Equipment,Terminal Equipment,Humidifier,SH,HUM,H,Humidifier,HUM,Steam,STM,All,nan,1000.0,LBS/HR,H-HUM-STM--1000,,HHUMSTM,15
Infrared Gas Fired HeaterElectricAll100,PF,Air Handling System Terminal Equipment,Terminal Equipment,Infrared Gas Fired Heater,IRH,IRH,H,Infrared Gas Fired Heater,IRH,Electric,ELE,All,nan,100.0,MBH,H-IRH-ELE--100,,HIRHELE,15
Infrared Gas Fired HeaterElectricAll250,PF,Air Handling System Terminal Equipment,Terminal Equipment,Infrared Gas Fired Heater,IRH,IRH,H,Infrared Gas Fired Heater,IRH,Electric,ELE,All,nan,250.0,MBH,H-IRH-ELE--250,,HIRHELE,15
Infrared Gas Fired HeaterGas-FiredAll100,PF,Air Handling System Terminal Equipment,Terminal Equipment,Infrared Gas Fired Heater,IRH,IRH,H,Infrared Gas Fired Heater,IRH,Gas-Fired,GAS,All,nan,100.0,MBH,H-IRH-GAS--100,,HIRHGAS,15
Infrared Gas Fired HeaterGas-FiredAll250,PF,Air Handling System Terminal Equipment,Terminal Equipment,Infrared Gas Fired Heater,IRH,IRH,H,Infrared Gas Fired Heater,IRH,Gas-Fired,GAS,All,nan,250.0,MBH,H-IRH-GAS--250,,HIRHGAS,15
Make-up Air UnitGas-FiredDirect Fired10000,SM,Air Handling Units,Air Handling Units,Make-up Air Unit,MAU,MAU,H,Make-up Air Unit,MAU,Gas-Fired,GAS,Direct Fired,DIR,10000.0,CFM,H-MAU-GAS-DIR-10000,,HMAUGASDIR,15
Make-up Air UnitGas-FiredDirect Fired20000,SM,Air Handling Units,Air Handling Units,Make-up Air Unit,MAU,MAU,H,Make-up Air Unit,MAU,Gas-Fired,GAS,Direct Fired,DIR,20000.0,CFM,H-MAU-GAS-DIR-20000,,HMAUGASDIR,15
Make-up Air UnitGas-FiredDirect Fired40000,SM,Air Handling Units,Air Handling Units,Make-up Air Unit,MAU,MAU,H,Make-up Air Unit,MAU,Gas-Fired,GAS,Direct Fired,DIR,40000.0,CFM,H-MAU-GAS-DIR-40000,,HMAUGASDIR,15
Make-up Air UnitGas-FiredDirect Fired5000,SM,Air Handling Units,Air Handling Units,Make-up Air Unit,MAU,MAU,H,Make-up Air Unit,MAU,Gas-Fired,GAS,Direct Fired,DIR,5000.0,CFM,H-MAU-GAS-DIR-5000,,HMAUGASDIR,15
Make-up Air UnitGas-FiredIndirect Fired10000,SM,Air Handling Units,Air Handling Units,Make-up Air Unit,MAU,MAU,H,Make-up Air Unit,MAU,Gas-Fired,GAS,Indirect Fired,IDT,10000.0,CFM,H-MAU-GAS-IDT-10000,,HMAUGASIDT,15
Make-up Air UnitGas-FiredIndirect Fired20000,SM,Air Handling Units,Air Handling Units,Make-up Air Unit,MAU,MAU,H,Make-up Air Unit,MAU,Gas-Fired,GAS,Indirect Fired,IDT,20000.0,CFM,H-MAU-GAS-IDT-20000,,HMAUGASIDT,15
Make-up Air UnitGas-FiredIndirect Fired40000,SM,Air Handling Units,Air Handling Units,Make-up Air Unit,MAU,MAU,H,Make-up Air Unit,MAU,Gas-Fired,GAS,Indirect Fired,IDT,40000.0,CFM,H-MAU-GAS-IDT-40000,,HMAUGASIDT,15
Make-up Air UnitGas-FiredIndirect Fired5000,SM,Air Handling Units,Air Handling Units,Make-up Air Unit,MAU,MAU,H,Make-up Air Unit,MAU,Gas-Fired,GAS,Indirect Fired,IDT,5000.0,CFM,H-MAU-GAS-IDT-5000,,HMAUGASIDT,15
Pot FeederBladderFloor Mounted20,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Bladder,BLD,Floor Mounted,FLR,20.0,GAL,H-POT-BLD-FLR-20,,HPOT,20
Pot FeederBladderFloor Mounted50,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Bladder,BLD,Floor Mounted,FLR,50.0,GAL,H-POT-BLD-FLR-50,,HPOT,20
Pot FeederBladderIn-Line10,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Bladder,BLD,In-Line,INL,10.0,GAL,H-POT-BLD-INL-10,,HPOT,20
Pot FeederBladderIn-Line2,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Bladder,BLD,In-Line,INL,2.0,GAL,H-POT-BLD-INL-2,,HPOT,20
Pot FeederWithout BladderFloor Mounted10,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Without Bladder,NOB,Floor Mounted,FLR,10.0,GAL,H-POT-NOB-FLR-10,,HPOT,20
Pot FeederWithout BladderFloor Mounted20,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Without Bladder,NOB,Floor Mounted,FLR,20.0,GAL,H-POT-NOB-FLR-20,,HPOT,20
Pot FeederWithout BladderFloor Mounted50,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Without Bladder,NOB,Floor Mounted,FLR,50.0,GAL,H-POT-NOB-FLR-50,,HPOT,20
Pot FeederWithout BladderIn-Line10,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Without Bladder,NOB,In-Line,INL,10.0,GAL,H-POT-NOB-INL-10,,HPOT,20
Pot FeederWithout BladderIn-Line2,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Pot Feeder,PF,PF,H,Pot Feeder,POT,Without Bladder,NOB,In-Line,INL,2.0,GAL,H-POT-NOB-INL-2,,HPOT,20
PTACHot WaterAll1500,SM,Air Handling System Terminal Equipment,Terminal Equipment,PTAC,PTAC,Other,H,PTAC,PTAC,Hot Water,HW,All,nan,1500.0,CFM,H-PTAC-HW--1500,,HPTACHW,15
PTACHot WaterAll3000,SM,Air Handling System Terminal Equipment,Terminal Equipment,PTAC,PTAC,Other,H,PTAC,PTAC,Hot Water,HW,All,nan,3000.0,CFM,H-PTAC-HW--3000,,HPTACHW,15
PTACHot WaterAll500,SM,Air Handling System Terminal Equipment,Terminal Equipment,PTAC,PTAC,Other,H,PTAC,PTAC,Hot Water,HW,All,nan,500.0,CFM,H-PTAC-HW--500,,HPTACHW,15
PumpCondensateDuplex200,PF,Steam Boiler Plant,Steam,Condensate Receiver w/Pump,CP,CP,H,Pump,PMP,Condensate,CND,Duplex,DPX,200.0,GAL,H-PMP-CND-DPX-200,,HPMPCNDDPX,15
PumpCondensateDuplex350,PF,Steam Boiler Plant,Steam,Condensate Receiver w/Pump,CP,CP,H,Pump,PMP,Condensate,CND,Duplex,DPX,350.0,GAL,H-PMP-CND-DPX-350,,HPMPCNDDPX,15
PumpCondensateDuplex500,PF,Steam Boiler Plant,Steam,Condensate Receiver w/Pump,CP,CP,H,Pump,PMP,Condensate,CND,Duplex,DPX,500.0,GAL,H-PMP-CND-DPX-500,,HPMPCNDDPX,15
PumpCondensateSimplex100,PF,Steam Boiler Plant,Steam,Condensate Receiver w/Pump,CP,CP,H,Pump,PMP,Condensate,CND,Simplex,SPX,100.0,GAL,H-PMP-CND-SPX-100,,HPMPCNDSPX,15
PumpCondensateSimplex50,PF,Steam Boiler Plant,Steam,Condensate Receiver w/Pump,CP,CP,H,Pump,PMP,Condensate,CND,Simplex,SPX,50.0,GAL,H-PMP-CND-SPX-50,,HPMPCNDSPX,15
PumpElectronic MeteringAll0.2,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Electronic Metering,EMR,All,nan,0.2,GPD,H-PMP-EMR--0.2,,nan,10
PumpEnd SuctionAll10,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,End Suction,ES,All,nan,10.0,HP,H-PMP-ES--10,,HPMPES,20
PumpEnd SuctionAll100,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,End Suction,ES,All,nan,100.0,HP,H-PMP-ES--100,,HPMPES,20
PumpEnd SuctionAll25,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,End Suction,ES,All,nan,25.0,HP,H-PMP-ES--25,,HPMPES,20
PumpEnd SuctionAll40,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,End Suction,ES,All,nan,40.0,HP,H-PMP-ES--40,,HPMPES,20
PumpEnd SuctionAll5,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,End Suction,ES,All,nan,5.0,HP,H-PMP-ES--5,,HPMPES,20
PumpEnd SuctionAll50,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,End Suction,ES,All,nan,50.0,HP,H-PMP-ES--50,,HPMPES,20
PumpEnd SuctionAll60,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,End Suction,ES,All,nan,60.0,HP,H-PMP-ES--60,,HPMPES,20
PumpEnd SuctionAll75,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,End Suction,ES,All,nan,75.0,HP,H-PMP-ES--75,,HPMPES,20
PumpFuel OilAll10,PF,Fuel Oil Piping and Equipment,Fuel Oil,Fuel Oil Pump,nan,nan,H,Pump,PMP,Fuel Oil,OIL,All,nan,10.0,GPM,H-PMP-OIL--10,,HPMPOIL,15
PumpFuel OilAll2,PF,Fuel Oil Piping and Equipment,Fuel Oil,Fuel Oil Pump,nan,nan,H,Pump,PMP,Fuel Oil,OIL,All,nan,2.0,GPM,H-PMP-OIL--2,,HPMPOIL,15
PumpInlineAll1,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,1.0,HP,H-PMP-INL--1,,HPMPINL,10
PumpInlineAll10,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,10.0,HP,H-PMP-INL--10,,HPMPINL,10
PumpInlineAll100,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,100.0,HP,H-PMP-INL--100,,HPMPINL,10
PumpInlineAll2,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,2.0,HP,H-PMP-INL--2,,HPMPINL,10
PumpInlineAll20,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,20.0,HP,H-PMP-INL--20,,HPMPINL,10
PumpInlineAll40,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,40.0,HP,H-PMP-INL--40,,HPMPINL,10
PumpInlineAll5,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,5.0,HP,H-PMP-INL--5,,HPMPINL,10
PumpInlineAll50,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,50.0,HP,H-PMP-INL--50,,HPMPINL,10
PumpInlineAll60,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,60.0,HP,H-PMP-INL--60,,HPMPINL,10
PumpInlineAll75,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Inline,INL,All,nan,75.0,HP,H-PMP-INL--75,,HPMPINL,10
PumpInlineDomestic Water0.5,PL,Domestic Water Plant,Domestic Water,Domestic Water Circ Pump,DWP,DWP,P,Pump,PMP,Inline,INL,Domestic Water,DW,0.5,HP,P-PMP-INL-DW-0.5,,HPMPINL,10
PumpInlineDomestic Water1,PL,Domestic Water Plant,Domestic Water,Domestic Water Circ Pump,DWP,DWP,P,Pump,PMP,Inline,INL,Domestic Water,DW,1.0,HP,P-PMP-INL-DW-1,,HPMPINL,10
PumpInlineDomestic Water10,PL,Domestic Water Plant,Domestic Water,Domestic Water Circ Pump,DWP,DWP,P,Pump,PMP,Inline,INL,Domestic Water,DW,10.0,HP,P-PMP-INL-DW-10,,HPMPINL,10
PumpInlineDomestic Water3,PL,Domestic Water Plant,Domestic Water,Domestic Water Circ Pump,DWP,DWP,P,Pump,PMP,Inline,INL,Domestic Water,DW,3.0,HP,P-PMP-INL-DW-3,,HPMPINL,10
PumpInlineDomestic Water5,PL,Domestic Water Plant,Domestic Water,Domestic Water Circ Pump,DWP,DWP,P,Pump,PMP,Inline,INL,Domestic Water,DW,5.0,HP,P-PMP-INL-DW-5,,HPMPINL,10
PumpSewage Ejector PumpDuplex10,PL,Sanitary Equipment,Sanitary Waste,Sewage Ejector Pump,SEP,SEP,P,Pump,PMP,Sewage Ejector Pump,SEP,Duplex,DPX,10.0,HP,P-PMP-SEP-DPX-10,,PPMPSEPDPX,15
PumpSewage Ejector PumpDuplex2,PL,Sanitary Equipment,Sanitary Waste,Sewage Ejector Pump,SEP,SEP,P,Pump,PMP,Sewage Ejector Pump,SEP,Duplex,DPX,2.0,HP,P-PMP-SEP-DPX-2,,PPMPSEPDPX,15
PumpSewage Ejector PumpGrinder Only10,PL,Sanitary Equipment,Sanitary Waste,Sewage Ejector Pump,SEP,SEP,P,Pump,PMP,Sewage Ejector Pump,SEP,Grinder Only,GDR,10.0,HP,P-PMP-SEP-GDR-10,,PPMPSEPGDR,15
PumpSewage Ejector PumpGrinder Only2,PL,Sanitary Equipment,Sanitary Waste,Sewage Ejector Pump,SEP,SEP,P,Pump,PMP,Sewage Ejector Pump,SEP,Grinder Only,GDR,2.0,HP,P-PMP-SEP-GDR-2,,PPMPSEPGDR,15
PumpSewage Ejector PumpSimplex10,PL,Sanitary Equipment,Sanitary Waste,Sewage Ejector Pump,SEP,SEP,P,Pump,PMP,Sewage Ejector Pump,SEP,Simplex,SPX,10.0,HP,P-PMP-SEP-SPX-10,,PPMPSEPSPX,15
PumpSewage Ejector PumpSimplex2,PL,Sanitary Equipment,Sanitary Waste,Sewage Ejector Pump,SEP,SEP,P,Pump,PMP,Sewage Ejector Pump,SEP,Simplex,SPX,2.0,HP,P-PMP-SEP-SPX-2,,PPMPSEPSPX,15
PumpSplit CaseAll10,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Split Case,SC,All,nan,10.0,HP,H-PMP-SC--10,,HPMPSC,20
PumpSplit CaseAll100,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Split Case,SC,All,nan,100.0,HP,H-PMP-SC--100,,HPMPSC,20
PumpSplit CaseAll25,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Split Case,SC,All,nan,25.0,HP,H-PMP-SC--25,,HPMPSC,20
PumpSplit CaseAll40,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Split Case,SC,All,nan,40.0,HP,H-PMP-SC--40,,HPMPSC,20
PumpSplit CaseAll50,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Split Case,SC,All,nan,50.0,HP,H-PMP-SC--50,,HPMPSC,20
PumpSplit CaseAll60,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Split Case,SC,All,nan,60.0,HP,H-PMP-SC--60,,HPMPSC,20
PumpSplit CaseAll75,PF,"Chiller Plant, Cooling Tower Plant, Hot Water Boiler Plant","Chilled, Condenser, Heating Water",Hydronic Pump,CHWP,CHWP,H,Pump,PMP,Split Case,SC,All,nan,75.0,HP,H-PMP-SC--75,,HPMPSC,20
PumpSteamFeedwater100,PF,Steam Boiler Plant,Steam,Feedwater Systems w/Pumps,nan,nan,H,Pump,PMP,Steam,STM,Feedwater,FDW,100.0,GAL,H-PMP-STM-FDW-100,,HPMPSTMFDW,15
PumpSteamFeedwater200,PF,Steam Boiler Plant,Steam,Feedwater Systems w/Pumps,nan,nan,H,Pump,PMP,Steam,STM,Feedwater,FDW,200.0,GAL,H-PMP-STM-FDW-200,,HPMPSTMFDW,15
